file_diff,commit_time,file_diff_id
"@@ -94,6 +94,7 @@ public class ProxyFactory<T> {
     private final ClassLoader classLoader;
     private final String baseProxyName;
     private final Bean<?> bean;
+    private final Class<?> proxiedBeanType;
 
     public static final String CONSTRUCTED_FLAG_NAME = ""constructed"";
 
@@ -117,6 +118,7 @@ public ProxyFactory(Class<?> proxiedBeanType, Set<? extends Type> typeClosure, B
      */
     public ProxyFactory(Class<?> proxiedBeanType, Set<? extends Type> typeClosure, String proxyName, Bean<?> bean) {
         this.bean = bean;
+        this.proxiedBeanType = proxiedBeanType;
         for (Type type : typeClosure) {
             Class<?> c = Reflections.getRawType(type);
             // Ignore no-interface views, they are dealt with proxiedBeanType
@@ -366,11 +368,12 @@ private Class<T> createProxyClass(String proxyClassName) throws Exception {
         }
         // TODO: change the ProxyServices SPI to allow the container to figure out
         // which PD to use
-        ProtectionDomain domain = beanType.getProtectionDomain();
-        if (beanType.isInterface() || beanType.equals(Object.class)) {
+
+
+        ProtectionDomain domain = proxiedBeanType.getProtectionDomain();
+        if(proxiedBeanType.getPackage() == null || proxiedBeanType.equals(Object.class)) {
             domain = ProxyFactory.class.getProtectionDomain();
         }
-
         Class<T> proxyClass = cast(ClassFileUtils.toClass(proxyClassType, classLoader, domain));
         log.trace(""Created Proxy class of type "" + proxyClass + "" supporting interfaces "" + Arrays.toString(proxyClass.getInterfaces()));
         return proxyClass;",2011-12-20T12:26:00Z,1
"@@ -68,11 +68,11 @@
 import org.jboss.weld.introspector.jlr.MethodSignatureImpl;
 import org.jboss.weld.introspector.jlr.WeldConstructorImpl;
 import org.jboss.weld.manager.BeanManagerImpl;
-import org.jboss.weld.metadata.cache.MetaAnnotationStore;
 import org.jboss.weld.resources.ClassTransformer;
 import org.jboss.weld.serialization.spi.ContextualStore;
 import org.jboss.weld.serialization.spi.helpers.SerializableContextual;
 import org.jboss.weld.util.Beans;
+import org.jboss.weld.util.InterceptorBindingSet;
 import org.jboss.weld.util.reflection.Reflections;
 import org.jboss.weld.util.reflection.SecureReflections;
 import org.slf4j.cal10n.LocLogger;
@@ -97,6 +97,7 @@
  * @param <T> the type of class for the bean
  * @author Pete Muir
  * @author David Allen
+ * @author Marko Luksa
  */
 public abstract class AbstractClassBean<T> extends AbstractBean<T, Class<T>> {
 
@@ -106,25 +107,6 @@ private static <T> InterceptorMetadata<T>[] emptyInterceptorMetadataArray() {
         return cast(EMPTY_INTERCEPTOR_METADATA_ARRAY);
     }
 
-    /**
-     * Extracts the complete set of interception bindings from a given set of
-     * annotations.
-     *
-     * @param beanManager
-     * @param annotations
-     * @return
-     */
-    protected static Set<Annotation> flattenInterceptorBindings(BeanManagerImpl beanManager, Set<Annotation> annotations) {
-        Set<Annotation> foundInterceptionBindingTypes = new HashSet<Annotation>();
-        for (Annotation annotation : annotations) {
-            if (beanManager.isInterceptorBinding(annotation.annotationType())) {
-                foundInterceptionBindingTypes.add(annotation);
-                foundInterceptionBindingTypes.addAll(beanManager.getServices().get(MetaAnnotationStore.class).getInterceptorBindingModel(annotation.annotationType()).getInheritedInterceptionBindingTypes());
-            }
-        }
-        return foundInterceptionBindingTypes;
-    }
-
     private InterceptorMetadata<SerializableContextual<?, ?>>[] toSerializableContextualArray(List<Interceptor<?>> interceptors) {
         List<InterceptorMetadata<SerializableContextual<Interceptor<?>, ?>>> serializableContextuals = new ArrayList<InterceptorMetadata<SerializableContextual<Interceptor<?>, ?>>>();
         for (Interceptor<?> interceptor : interceptors) {
@@ -209,16 +191,17 @@ protected void initInterceptionModelForType() {
         InterceptionModelBuilder<ClassMetadata<?>, ?> builder = InterceptionModelBuilder.<ClassMetadata<?>>newBuilderFor(classMetadata);
 
         // initialize CDI interceptors
-        Set<Annotation> classBindingAnnotations = flattenInterceptorBindings(beanManager, getWeldAnnotated().getAnnotations());
+        Set<Annotation> classBindingAnnotations = new InterceptorBindingSet(beanManager);
+        classBindingAnnotations.addAll(beanManager.extractInterceptorBindings(getWeldAnnotated().getAnnotations()));
         for (Class<? extends Annotation> annotation : getStereotypes()) {
-            classBindingAnnotations.addAll(flattenInterceptorBindings(beanManager, beanManager.getStereotypeDefinition(annotation)));
+            classBindingAnnotations.addAll(beanManager.extractInterceptorBindings(beanManager.getStereotypeDefinition(annotation)));
         }
         if (classBindingAnnotations.size() > 0) {
             if (Beans.findInterceptorBindingConflicts(beanManager, classBindingAnnotations)) {
                 throw new DeploymentException(CONFLICTING_INTERCEPTOR_BINDINGS, getType());
             }
 
-            Annotation[] classBindingAnnotationsArray = classBindingAnnotations.toArray(new Annotation[0]);
+            Annotation[] classBindingAnnotationsArray = classBindingAnnotations.toArray(new Annotation[classBindingAnnotations.size()]);
 
             List<Interceptor<?>> resolvedPostConstructInterceptors = beanManager.resolveInterceptors(InterceptionType.POST_CONSTRUCT, classBindingAnnotationsArray);
             builder.interceptPostConstruct().with(toSerializableContextualArray(resolvedPostConstructInterceptors));
@@ -235,22 +218,25 @@ protected void initInterceptionModelForType() {
         }
         List<WeldMethod<?, ?>> businessMethods = Beans.getInterceptableMethods(getWeldAnnotated());
         for (WeldMethod<?, ?> method : businessMethods) {
-            Set<Annotation> methodBindingAnnotations = new HashSet<Annotation>(classBindingAnnotations);
-            methodBindingAnnotations.addAll(flattenInterceptorBindings(beanManager, method.getAnnotations()));
+            Set<Annotation> methodBindingAnnotations = new InterceptorBindingSet(beanManager);
+            methodBindingAnnotations.addAll(classBindingAnnotations);
+            methodBindingAnnotations.addAll(beanManager.extractInterceptorBindings(method.getAnnotations()));
             if (methodBindingAnnotations.size() > 0) {
                 if (Beans.findInterceptorBindingConflicts(beanManager, methodBindingAnnotations)) {
                     throw new DeploymentException(CONFLICTING_INTERCEPTOR_BINDINGS, getType() + ""."" + method.getName() + ""()"");
                 }
 
-                List<Interceptor<?>> methodBoundInterceptors = beanManager.resolveInterceptors(InterceptionType.AROUND_INVOKE, methodBindingAnnotations.toArray(new Annotation[]{}));
+                Annotation[] methodBindingAnnotationsArray = methodBindingAnnotations.toArray(new Annotation[methodBindingAnnotations.size()]);
+
+                List<Interceptor<?>> methodBoundInterceptors = beanManager.resolveInterceptors(InterceptionType.AROUND_INVOKE, methodBindingAnnotationsArray);
                 if (methodBoundInterceptors != null && methodBoundInterceptors.size() > 0) {
                     if (method.isFinal()) {
                         throw new DefinitionException(FINAL_INTERCEPTED_BEAN_METHOD_NOT_ALLOWED, method, methodBoundInterceptors.get(0).getBeanClass().getName());
                     }
                     builder.interceptAroundInvoke(Reflections.<AnnotatedMethod<T>>cast(method).getJavaMember()).with(toSerializableContextualArray(methodBoundInterceptors));
                 }
 
-                methodBoundInterceptors = beanManager.resolveInterceptors(InterceptionType.AROUND_TIMEOUT, methodBindingAnnotations.toArray(new Annotation[]{}));
+                methodBoundInterceptors = beanManager.resolveInterceptors(InterceptionType.AROUND_TIMEOUT, methodBindingAnnotationsArray);
                 if (methodBoundInterceptors != null && methodBoundInterceptors.size() > 0) {
                     if (method.isFinal()) {
                         throw new DefinitionException(FINAL_INTERCEPTED_BEAN_METHOD_NOT_ALLOWED, method, methodBoundInterceptors.get(0).getBeanClass().getName());",2012-04-03T01:57:03Z,2
"@@ -45,6 +45,7 @@
 
 /**
  * @author Marius Bogoevici
+ * @author Marko Luksa
  */
 public class InterceptorImpl<T> extends ManagedBean<T> implements Interceptor<T> {
 
@@ -63,9 +64,9 @@ protected InterceptorImpl(WeldClass<T> type, BeanManagerImpl beanManager, Servic
         this.interceptorMetadata = beanManager.getInterceptorMetadataReader().getInterceptorMetadata(ClassMetadataInterceptorReference.of(WeldInterceptorClassMetadata.of(type)));
         this.serializable = type.isSerializable();
         this.interceptorBindingTypes = new HashSet<Annotation>();
-        interceptorBindingTypes.addAll(flattenInterceptorBindings(beanManager, getWeldAnnotated().getAnnotations()));
+        interceptorBindingTypes.addAll(beanManager.flattenInterceptorBindings(getWeldAnnotated().getAnnotations()));
         for (Class<? extends Annotation> annotation : getStereotypes()) {
-            interceptorBindingTypes.addAll(flattenInterceptorBindings(beanManager, beanManager.getStereotypeDefinition(annotation)));
+            interceptorBindingTypes.addAll(beanManager.flattenInterceptorBindings(beanManager.getStereotypeDefinition(annotation)));
         }
         if (this.interceptorBindingTypes.size() == 0) {
             throw new DeploymentException(MISSING_BINDING_ON_INTERCEPTOR, type.getName());",2012-04-03T01:57:03Z,3
"@@ -70,6 +70,7 @@
 import org.jboss.weld.serialization.spi.ContextualStore;
 import org.jboss.weld.util.Beans;
 import org.jboss.weld.util.BeansClosure;
+import org.jboss.weld.util.InterceptorBindingSet;
 import org.jboss.weld.util.Observers;
 import org.jboss.weld.util.Proxies;
 import org.jboss.weld.util.collections.Arrays2;
@@ -113,6 +114,8 @@
 import static org.jboss.weld.logging.messages.BeanManagerMessage.AMBIGUOUS_BEANS_FOR_DEPENDENCY;
 import static org.jboss.weld.logging.messages.BeanManagerMessage.CONTEXT_NOT_ACTIVE;
 import static org.jboss.weld.logging.messages.BeanManagerMessage.DUPLICATE_ACTIVE_CONTEXTS;
+import static org.jboss.weld.logging.messages.BeanManagerMessage.DUPLICATE_INTERCEPTOR_BINDING;
+import static org.jboss.weld.logging.messages.BeanManagerMessage.INTERCEPTOR_BINDINGS_EMPTY;
 import static org.jboss.weld.logging.messages.BeanManagerMessage.NON_NORMAL_SCOPE;
 import static org.jboss.weld.logging.messages.BeanManagerMessage.NOT_INTERCEPTOR_BINDING_TYPE;
 import static org.jboss.weld.logging.messages.BeanManagerMessage.NOT_STEREOTYPE;
@@ -137,6 +140,7 @@
  * @author Pete Muir
  * @author Marius Bogoevici
  * @author Ales Justin
+ * @author Marko Luksa
  */
 public class BeanManagerImpl implements WeldManager, Serializable {
 
@@ -620,7 +624,7 @@ public Object getReference(Bean<?> bean, CreationalContext<?> creationalContext,
     private boolean isProxyRequired(Bean<?> bean) {
         if (bean instanceof RIBean<?>) {
             return ((RIBean<?>) bean).isProxyRequired();
-        } else if (getServices().get(MetaAnnotationStore.class).getScopeModel(bean.getScope()).isNormal()) {
+        } else if (getMetaAnnotationStore().getScopeModel(bean.getScope()).isNormal()) {
             return true;
         } else {
             return false;
@@ -669,7 +673,7 @@ public Object getReference(InjectionPoint injectionPoint, Bean<?> resolvedBean,
             if (registerInjectionPoint) {
                 currentInjectionPoint.push(injectionPoint);
             }
-            if (getServices().get(MetaAnnotationStore.class).getScopeModel(resolvedBean.getScope()).isNormal() && !Proxies.isTypeProxyable(injectionPoint.getType())) {
+            if (getMetaAnnotationStore().getScopeModel(resolvedBean.getScope()).isNormal() && !Proxies.isTypeProxyable(injectionPoint.getType())) {
                 throw new UnproxyableResolutionException(UNPROXYABLE_RESOLUTION, resolvedBean, injectionPoint);
             }
             // TODO Can we move this logic to getReference?
@@ -707,7 +711,7 @@ public <T> Bean<T> getBean(Resolvable resolvable) {
             throw new UnsatisfiedResolutionException(UNRESOLVABLE_ELEMENT, resolvable);
         }
 
-        boolean normalScoped = getServices().get(MetaAnnotationStore.class).getScopeModel(bean.getScope()).isNormal();
+        boolean normalScoped = getMetaAnnotationStore().getScopeModel(bean.getScope()).isNormal();
         if (normalScoped && !Beans.isBeanProxyable(bean)) {
             throw Proxies.getUnproxyableTypesException(bean);
         }
@@ -745,15 +749,31 @@ private void checkResolveDecoratorsArguments(Set<Type> types) {
      * @param interceptorBindings The binding types to match
      * @return A list of matching interceptors
      * @see javax.enterprise.inject.spi.BeanManager#resolveInterceptors(javax.enterprise.inject.spi.InterceptionType,
-     *      java.lang.annotation.Annotation[])
+     *      java.lang.annotation.Annotation...)
      */
     public List<Interceptor<?>> resolveInterceptors(InterceptionType type, Annotation... interceptorBindings) {
-        // We can always cache as this is only ever called by Weld where we avoid non-static inner classes for annotation literals
+        if (interceptorBindings.length == 0) {
+            throw new IllegalArgumentException(INTERCEPTOR_BINDINGS_EMPTY);
+        }
+        Set<Annotation> interceptorBindingsSet = new InterceptorBindingSet(this);
+        for (Annotation annotation : interceptorBindings) {
+            if (!isInterceptorBinding(annotation.annotationType())) {
+                throw new IllegalArgumentException(NOT_INTERCEPTOR_BINDING_TYPE, annotation);
+            }
+            if (interceptorBindingsSet.contains(annotation)) {
+                throw new IllegalArgumentException(DUPLICATE_INTERCEPTOR_BINDING, annotation);
+            }
+            interceptorBindingsSet.add(annotation);
+        }
+
+        Set<Annotation> flattenedInterceptorBindings = flattenInterceptorBindings(interceptorBindingsSet);
+
         InterceptorResolvable interceptorResolvable = new InterceptorResolvableBuilder(Object.class)
                 .setInterceptionType(type)
-                .addQualifiers(interceptorBindings)
+                .addQualifiers(flattenedInterceptorBindings)
                 .create();
-        return new ArrayList<Interceptor<?>>(interceptorResolver.resolve(interceptorResolvable, isCacheable(interceptorBindings)));
+        // We can always cache as this is only ever called by Weld where we avoid non-static inner classes for annotation literals
+        return new ArrayList<Interceptor<?>>(interceptorResolver.resolve(interceptorResolvable, isCacheable(flattenedInterceptorBindings)));
     }
 
     /**
@@ -821,7 +841,7 @@ public BeanManagerImpl createActivity() {
     }
 
     public BeanManagerImpl setCurrent(Class<? extends Annotation> scopeType) {
-        if (!getServices().get(MetaAnnotationStore.class).getScopeModel(scopeType).isNormal()) {
+        if (!getMetaAnnotationStore().getScopeModel(scopeType).isNormal()) {
             throw new IllegalArgumentException(NON_NORMAL_SCOPE, scopeType);
         }
         currentActivities.add(new CurrentActivity(getContext(scopeType), this));
@@ -944,7 +964,7 @@ public void validate(InjectionPoint ij) {
     }
 
     public Set<Annotation> getInterceptorBindingDefinition(Class<? extends Annotation> bindingType) {
-        InterceptorBindingModel<? extends Annotation> model = getServices().get(MetaAnnotationStore.class).getInterceptorBindingModel(bindingType);
+        InterceptorBindingModel<? extends Annotation> model = getMetaAnnotationStore().getInterceptorBindingModel(bindingType);
         if (model.isValid()) {
             return model.getMetaAnnotations();
         } else {
@@ -957,7 +977,7 @@ public Bean<?> getPassivationCapableBean(String id) {
     }
 
     public Set<Annotation> getStereotypeDefinition(Class<? extends Annotation> stereotype) {
-        final StereotypeModel<? extends Annotation> model = getServices().get(MetaAnnotationStore.class).getStereotype(stereotype);
+        final StereotypeModel<? extends Annotation> model = getMetaAnnotationStore().getStereotype(stereotype);
         if (model.isValid()) {
             return model.getMetaAnnotations();
         } else {
@@ -966,29 +986,33 @@ public Set<Annotation> getStereotypeDefinition(Class<? extends Annotation> stere
     }
 
     public boolean isQualifier(Class<? extends Annotation> annotationType) {
-        return getServices().get(MetaAnnotationStore.class).getBindingTypeModel(annotationType).isValid();
+        return getMetaAnnotationStore().getBindingTypeModel(annotationType).isValid();
     }
 
     public boolean isInterceptorBinding(Class<? extends Annotation> annotationType) {
-        return getServices().get(MetaAnnotationStore.class).getInterceptorBindingModel(annotationType).isValid();
+        return getMetaAnnotationStore().getInterceptorBindingModel(annotationType).isValid();
     }
 
     public boolean isNormalScope(Class<? extends Annotation> annotationType) {
-        ScopeModel<?> scope = getServices().get(MetaAnnotationStore.class).getScopeModel(annotationType);
+        ScopeModel<?> scope = getMetaAnnotationStore().getScopeModel(annotationType);
         return scope.isValid() && scope.isNormal();
     }
 
     public boolean isPassivatingScope(Class<? extends Annotation> annotationType) {
-        ScopeModel<?> scope = getServices().get(MetaAnnotationStore.class).getScopeModel(annotationType);
+        ScopeModel<?> scope = getMetaAnnotationStore().getScopeModel(annotationType);
         return scope.isValid() && scope.isPassivating();
     }
 
     public boolean isScope(Class<? extends Annotation> annotationType) {
-        return getServices().get(MetaAnnotationStore.class).getScopeModel(annotationType).isValid();
+        return getMetaAnnotationStore().getScopeModel(annotationType).isValid();
     }
 
     public boolean isStereotype(Class<? extends Annotation> annotationType) {
-        return getServices().get(MetaAnnotationStore.class).getStereotype(annotationType).isValid();
+        return getMetaAnnotationStore().getStereotype(annotationType).isValid();
+    }
+
+    public MetaAnnotationStore getMetaAnnotationStore() {
+        return getServices().get(MetaAnnotationStore.class);
     }
 
     public ELResolver getELResolver() {
@@ -1059,6 +1083,38 @@ public <X> InjectionTarget<X> fireProcessInjectionTarget(AnnotatedType<X> annota
         return AbstractProcessInjectionTarget.fire(this, annotatedType, createInjectionTarget(annotatedType));
     }
 
+    public Set<Annotation> extractInterceptorBindings(Iterable<Annotation> annotations) {
+        Set<Annotation> foundInterceptionBindingTypes = new HashSet<Annotation>();
+        for (Annotation annotation : annotations) {
+            if (isInterceptorBinding(annotation.annotationType())) {
+                foundInterceptionBindingTypes.add(annotation);
+            }
+        }
+        return foundInterceptionBindingTypes;
+    }
+
+    /**
+     * Extracts the complete set of interception bindings from a given set of
+     * annotations.
+     *
+     * @param annotations
+     * @return
+     */
+    public Set<Annotation> flattenInterceptorBindings(Set<Annotation> annotations) {
+        MetaAnnotationStore metaAnnotationStore = getMetaAnnotationStore();
+
+        Set<Annotation> foundInterceptionBindingTypes = new InterceptorBindingSet(this);
+        for (Annotation annotation : annotations) {
+            if (isInterceptorBinding(annotation.annotationType())) {
+                foundInterceptionBindingTypes.add(annotation);
+
+                InterceptorBindingModel<? extends Annotation> interceptorBindingModel = metaAnnotationStore.getInterceptorBindingModel(annotation.annotationType());
+                foundInterceptionBindingTypes.addAll(interceptorBindingModel.getInheritedInterceptionBindingTypes());
+            }
+        }
+        return foundInterceptionBindingTypes;
+    }
+
     private static class InstanceInjectionPoint implements InjectionPoint, Serializable {
 
         private static final InjectionPoint INSTANCE = new InstanceInjectionPoint();",2012-04-03T01:57:03Z,4
"@@ -113,6 +113,7 @@
  * @author David Allen
  * @author Marius Bogoevici
  * @author Ales Justin
+ * @author Marko Luksa
  */
 public class Beans {
     // TODO Convert messages
@@ -473,8 +474,9 @@ public static boolean containsAllInterceptionBindings(Set<Annotation> expectedBi
     }
 
     public static boolean findInterceptorBindingConflicts(BeanManagerImpl manager, Set<Annotation> bindings) {
+        Set<Annotation> flattenedBindings = manager.flattenInterceptorBindings(bindings);
         Map<Class<? extends Annotation>, Annotation> foundAnnotations = new HashMap<Class<? extends Annotation>, Annotation>();
-        for (Annotation binding : bindings) {
+        for (Annotation binding : flattenedBindings) {
             if (foundAnnotations.containsKey(binding.annotationType())) {
                 InterceptorBindingModel<?> bindingType = manager.getServices().get(MetaAnnotationStore.class).getInterceptorBindingModel(binding.annotationType());
                 if (!bindingType.isEqual(binding, foundAnnotations.get(binding.annotationType()), false)) {",2012-04-03T01:57:03Z,5
"@@ -0,0 +1,62 @@
+package org.jboss.weld.util;
+
+import org.jboss.weld.manager.BeanManagerImpl;
+import org.jboss.weld.metadata.cache.InterceptorBindingModel;
+import org.jboss.weld.metadata.cache.MetaAnnotationStore;
+
+import java.lang.annotation.Annotation;
+import java.util.AbstractSet;
+import java.util.HashSet;
+import java.util.Iterator;
+import java.util.Set;
+
+/**
+ * @author <a href=""mailto:marko.luksa@gmail.com"">Marko Luksa</a>
+ */
+public class InterceptorBindingSet extends AbstractSet<Annotation> {
+
+    private BeanManagerImpl beanManager;
+    private Set<Annotation> set = new HashSet<Annotation>();
+
+    public InterceptorBindingSet(BeanManagerImpl beanManager) {
+        this.beanManager = beanManager;
+    }
+
+    @Override
+    public boolean add(Annotation annotation) {
+        if (contains(annotation)) {
+            return false;
+        }
+        return set.add(annotation);
+    }
+
+    @Override
+    public Iterator<Annotation> iterator() {
+        return set.iterator();
+    }
+
+    @Override
+    public int size() {
+        return set.size();
+    }
+
+
+    public boolean contains(Object o) {
+        if (o instanceof Annotation) {
+            Annotation annotation = (Annotation) o;
+
+            MetaAnnotationStore metaAnnotationStore = beanManager.getMetaAnnotationStore();
+            InterceptorBindingModel<? extends Annotation> interceptorBindingModel = metaAnnotationStore.getInterceptorBindingModel(annotation.annotationType());
+
+            for (Annotation containedAnnotation : set) {
+                if (interceptorBindingModel.isEqual(annotation, containedAnnotation)) {
+                    return true;
+                }
+            }
+            return false;
+        } else {
+            return super.contains(o);
+        }
+    }
+
+}",2012-04-03T01:57:03Z,6
"@@ -73,7 +73,6 @@ public void testInterceptorBindingRecognized() {
     }
 
     @Test
-    @Ignore(""WELD-999"")
     public void testTransitivityOfInterceptorBindings() {
         // non-transitive bindings
         assertEquals(1, manager.resolveInterceptors(InterceptionType.AROUND_INVOKE, new SynchronizedLiteral()).size());",2012-04-03T01:57:03Z,7
"@@ -4,12 +4,12 @@
     <groupId>org.jboss.weld</groupId>
     <artifactId>weld-core-jboss-as6-updater</artifactId>
     <packaging>pom</packaging>
-    <version>1.1.12-SNAPSHOT</version>
+    <version>1.1.14-SNAPSHOT</version>
 
     <parent>
         <groupId>org.jboss.weld</groupId>
         <artifactId>weld-core-parent</artifactId>
-        <version>1.1.12-SNAPSHOT</version>
+        <version>1.1.14-SNAPSHOT</version>
         <relativePath>../../pom.xml</relativePath>
     </parent>
 ",2013-07-03T12:53:30Z,8
"@@ -4,12 +4,12 @@
     <groupId>org.jboss.weld</groupId>
     <artifactId>weld-core-jboss-as7-updater</artifactId>
     <packaging>pom</packaging>
-    <version>1.1.12-SNAPSHOT</version>
+    <version>1.1.14-SNAPSHOT</version>
 
     <parent>
         <groupId>org.jboss.weld</groupId>
         <artifactId>weld-core-parent</artifactId>
-        <version>1.1.12-SNAPSHOT</version>
+        <version>1.1.14-SNAPSHOT</version>
         <relativePath>../../pom.xml</relativePath>
     </parent>
 ",2013-07-03T12:53:30Z,9
"@@ -55,6 +55,7 @@
 
    <properties>
       <osgi.version>1.0</osgi.version>
+      <parsedVersion.osgiVersion>${project.version}</parsedVersion.osgiVersion>
    </properties>
    <build>
       <plugins>",2011-07-19T09:27:13Z,10
